JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,2003-12-07,Semarang,Gunung Pati,Asrama,Jalan Kaki,Smp / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,1999-09-14,Sragen,Gayamsari,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2006-01-21,Kendal,Tampingan,Bersama Orang Tua,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Mutasi
L,2000-10-23,(Tidak Diisi),Semarang Barat,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2004-09-23,Semarang,Wringin Putih,Asrama,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-01-26,(Tidak Diisi),Tugu,Pesantren,Jalan Kaki,Sd / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Mutasi
L,2004-03-06,Semarang,Sumowono,Asrama,Jalan Kaki,Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-06-06,Semarang,Ngaliyan,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-03-22,Kendal,Boja,Asrama,Jalan Kaki,Tidak Sekolah,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-05-10,Semarang,Bergas,Asrama,Jalan Kaki,Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Sudah Meninggal,Tidak Berpenghasilan,Lulus
L,2003-12-24,Curup,Gajah Mungkur,Asrama,Jalan Kaki,Sma / Sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Smp / Sederajat,Lainnya,"Rp. 500,000 - Rp. 999,999",Lulus
L,2005-07-27,Kendal,Kertosari,Asrama,Jalan Kaki,Smp / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-12-31,Kendal,Singorojo,Asrama,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-12-29,Bekasi,Pondokgede,Asrama,Jalan Kaki,Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2002-07-26,Kendal,Boja,Asrama,Jalan Kaki,Sd / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,2005-03-30,Kendal,Kota Kendal,Pesantren,Jalan Kaki,Sma / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",S1,Wirausaha,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-07-21,Semarang,Mijen,Asrama,Jalan Kaki,Putus Sd,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-03-22,Semarang,Banyumanik,Bersama Orang Tua,Ojek,Sma / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-08-06,Semarang,Mijen,Asrama,Jalan Kaki,Smp / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2002-02-01,Kendal,Singorojo,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2005-07-05,Semarang,Gedanganak,Bersama Orang Tua,Jalan Kaki,Sma / Sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Smp / Sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Lulus
L,1998-04-07,Kendal,Boja,Bersama Orang Tua,Sepeda Motor,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-08-27,Semarang,Mijen,Asrama,Jalan Kaki,Smp / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-02-14,Kendal,Boja,Asrama,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-03-18,Semarang,Ungaran Barat,Asrama,Jalan Kaki,Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-03-19,Semarang,Mijen,Asrama,Jalan Kaki,Sd / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-10-31,Kendal,Boja,Bersama Orang Tua,Sepeda Motor,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-09-10,Kendal,Boja,Bersama Orang Tua,Sepeda Motor,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Mutasi
L,1999-10-27,Kendal,Boja,Asrama,Jalan Kaki,Putus Sd,Petani,"Rp. 500,000 - Rp. 999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-10-17,Semarang,Gunung Pati,Bersama Orang Tua,Sepeda Motor,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-04-26,Semarang,Ungaran Timur,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,2004-03-24,Kendal,Kaliwungu Selatan,Bersama Orang Tua,Sepeda Motor,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,1999-07-03,Kendal,Singorojo,Asrama,Jalan Kaki,Smp / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-11-02,Semarang,Bergas,Asrama,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1996-04-12,Boyolali,Tembalang,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-06-22,Semarang,Gunung Pati,Asrama,Jalan Kaki,Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-05-28,Kendal,Singorojo,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-04-05,Semarang,Ungaran Timur,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-04-19,Semarang,Tugu,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Sma / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,2001-09-13,Kendal,Kota Kendal,Pesantren,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,2002-10-11,Demak,Mranggen,Bersama Orang Tua,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",S1,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2004-06-13,Semarang,Bongsari,Pesantren,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Tidak Bekerja,Tidak Berpenghasilan,Mutasi
L,2001-09-28,Semarang,Tugu,Pesantren,Jalan Kaki,Sd / Sederajat,Nelayan,"Rp. 1,000,000 - Rp. 1,999,999",S1,Pns/Tni/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,2004-06-26,Kendal,Singorojo,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Sd / Sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,2000-08-17,Grobogan,Toroh,Asrama,Jalan Kaki,Smp / Sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2004-05-13,Kualasimpang,Kota Lintang,Bersama Orang Tua,Sepeda Motor,Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-06-25,Kendal,Kangkung,Bersama Orang Tua,Sepeda,Smp / Sederajat,Wiraswasta,"Kurang Dari Rp. 500,000",Sma / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,2000-05-01,Kendal,Singorojo,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Lulus
L,2004-09-01,Semarang,Banyubiru,Asrama,Jalan Kaki,Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-11-11,Brebes,Jatibarang,Rumah Tinggal,Jalan Kaki,Smp / Sederajat,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Sd / Sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-03-13,Semarang,Ngaliyan,Rumah Tinggal,Jalan Kaki,Smp / Sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Putus Sd,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Mutasi
L,2004-04-02,Semarang,Gajah Mungkur,Bersama Orang Tua,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Sma / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
L,1998-06-11,Kendal,Singorojo,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2003-07-23,Semarang,Tuntang,Bersama Orang Tua,Jalan Kaki,Smp / Sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-07-20,Semarang,Mijen,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,2002-12-24,Semarang,Tembalang,Asrama,Jalan Kaki,Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2008-01-06,Semarang,Candirejo,Bersama Orang Tua,Angkutan Umum/Bus/Pete-Pete,S1,Pedagang Besar,"Rp. 2,000,000 - Rp. 4,999,999",S1,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Mutasi
L,2004-01-13,Semarang,Purwoyoso,Bersama Orang Tua,Angkutan Umum/Bus/Pete-Pete,Tidak Sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2000-08-26,Semarang,Ngaliyan,Asrama,Jalan Kaki,Tidak Sekolah,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Mutasi
L,1997-10-25,Semarang,Mijen,Bersama Orang Tua,Sepeda Motor,Sma / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-11-03,Kendal,Brangsong,Asrama,Jalan Kaki,D4,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",Sma / Sederajat,Lainnya,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2001-10-23,Kendal,Kaliwungu,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Putus Sd,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",Lulus
L,1996-08-01,Semarang,Mijen,Bersama Orang Tua,Jalan Kaki,Sd / Sederajat,Sudah Meninggal,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-09-01,Semarang,Ngaliyan,Asrama,Jalan Kaki,Smp / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,2000-05-24,Jepara,Bangsri,Asrama,Jalan Kaki,Sd / Sederajat,Wirausaha,"Rp. 500,000 - Rp. 999,999",Sd / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2002-12-06,Semarang,Ngaliyan,Asrama,Jalan Kaki,Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,2000-06-24,Kendal,Limbangan,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Sd / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,1998-07-23,Kendal,Boja,Asrama,Jalan Kaki,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1999-12-08,Semarang,Mijen,Pesantren,Jalan Kaki,Tidak Sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,2002-04-01,Kendal,Patebon,Pesantren,Jalan Kaki,Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Tidak Bekerja,"Kurang Dari Rp. 500,000",Lulus
L,2005-09-06,Semarang,Pedurungan Tengah,Bersama Orang Tua,Sepeda Motor,Sma / Sederajat,Wirausaha,"Rp. 2,000,000 - Rp. 4,999,999",Sma / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,1999-10-15,Semarang,Mijen,Asrama,Jalan Kaki,Sd / Sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",Sd / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2000-09-02,Kendal,Boja,Pesantren,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Tidak Bekerja,Tidak Berpenghasilan,Lulus
L,1997-03-27,Semarang,Mijen,Bersama Orang Tua,Sepeda Motor,Tidak Sekolah,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak Sekolah,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1997-08-25,Semarang,Ungaran Barat,Asrama,Jalan Kaki,Sd / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Smp / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,1998-04-07,Kendal,Boja,Asrama,Jalan Kaki,Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2008-07-22,Kendal,Singorojo,Bersama Orang Tua,Jalan Kaki,Smp / Sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Sd / Sederajat,Petani,"Rp. 500,000 - Rp. 999,999",Mutasi
P,2003-04-08,Kendal,Singorojo,Pesantren,Jalan Kaki,Putus Sd,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Putus Sd,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2005-04-21,Semarang,Gisikdrono,Bersama Orang Tua,Angkutan Umum/Bus/Pete-Pete,Sma / Sederajat,Tidak Bekerja,Tidak Berpenghasilan,Sma / Sederajat,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-03-22,Semarang,Gunung Pati,Asrama,Jalan Kaki,Smp / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-03-22,Semarang,Gunung Pati,Rumah Tinggal,Jalan Kaki,Sd / Sederajat,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya
P,2002-01-17,Semarang,Pedurungan,Asrama,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Smp / Sederajat,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
L,2003-06-26,Semarang,Tembalang,Bersama Orang Tua,Jalan Kaki,Sma / Sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Sma / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2006-05-04,Semarang,Gunung Pati,Bersama Orang Tua,Angkutan Umum/Bus/Pete-Pete,Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
P,2001-11-01,Semarang,Bandungan,Rumah Tinggal,Jalan Kaki,Sd / Sederajat,"Rp. 1,000,000 - Rp. 1,999,999","Rp. 1,000,000 - Rp. 1,999,999",Sd / Sederajat,Tidak Bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Mutasi
